FLASV1.1417	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__C10-SB1A; f__Amarolineaceae; g__Ca_Amarolinea; s__Ca_Amarolinea_dominans
FLASV2.1445	k__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Microtrichaceae; g__Ca_Microthrix; s__Ca_Microthrix_subdominans
